m,alpha,k,Time,d_cpdag,TPR,FPR
15,2,13,0.003486872,4,0.941176471,0.014354067
15,2,14,0.004019022,6,0.941176471,0.023923445
15,2,15,0.003700972,6,0.941176471,0.023923445
15,2,16,0.003679037,6,0.882352941,0.019047619
15,2,17,0.013320923,5,0.941176471,0.019138756
15,2,18,0.003861904,7,0.823529412,0.018957346
15,2,19,0.003522158,0,1,0
15,2,20,0.003593206,4,1,0.019230769
15,2,21,0.003774881,6,0.882352941,0.019047619
15,2,22,0.003652811,5,1,0.024038462
15,2,23,0.00365901,4,0.882352941,0.00952381
15,2,24,0.003768921,5,0.882352941,0.014285714
15,2,25,0.003808022,9,0.764705882,0.023584906
15,2,26,0.003437042,4,0.882352941,0.00952381
15,2,27,0.003535986,2,0.941176471,0.004784689
15,2,28,0.003789902,2,1,0.009615385
15,2,29,0.00398612,11,0.882352941,0.042857143
15,2,30,0.003525972,2,0.941176471,0.004784689
15,4,1,0.00364399,5,0.823529412,0.009478673
15,4,2,0.00366807,7,0.882352941,0.023809524
15,4,3,0.00376296,11,0.764705882,0.033018868
15,4,4,0.003697872,2,0.941176471,0.004784689
15,4,5,0.003772974,5,0.882352941,0.014285714
15,4,6,0.00363493,9,0.823529412,0.028436019
15,4,7,0.003880024,9,0.764705882,0.023584906
15,4,8,0.108861923,9,0.823529412,0.028436019
15,4,9,0.003528833,5,0.941176471,0.019138756
15,4,10,0.003601074,7,0.823529412,0.018957346
15,4,11,0.003693819,6,0.882352941,0.019047619
15,4,12,0.00369978,6,0.941176471,0.023923445
15,4,13,0.003843069,4,0.882352941,0.00952381
15,4,14,0.004390955,5,0.882352941,0.014285714
15,4,15,0.004368067,4,0.941176471,0.014354067
15,4,16,0.003681183,2,0.941176471,0.004784689
15,4,17,0.004126072,6,0.882352941,0.019047619
15,4,18,0.003530025,10,0.705882353,0.023474178
15,4,19,0.003792048,4,0.941176471,0.014354067
15,4,20,0.003584862,4,1,0.019230769
15,4,21,0.003885984,5,0.941176471,0.019138756
15,4,22,0.003648996,4,0.941176471,0.014354067
15,4,23,0.003632069,5,0.941176471,0.019138756
15,4,24,0.003705978,7,0.882352941,0.023809524
15,4,25,0.003807068,7,0.823529412,0.018957346
15,4,26,0.00336194,10,0.647058824,0.018691589
15,4,27,0.003892183,6,0.941176471,0.023923445
15,4,28,0.003567934,3,1,0.014423077
15,4,29,0.003631115,12,0.705882353,0.03286385
15,4,30,0.00366497,2,0.941176471,0.004784689
20,1,1,0.004419088,7,0.916666667,0.013227513
20,1,2,0.005120993,20,0.625,0.028571429
20,1,3,0.004769087,8,0.875,0.013192612
20,1,4,0.004480839,7,0.875,0.01055409
20,1,5,0.004392862,13,0.708333333,0.015665796
20,1,6,0.004204988,5,0.958333333,0.01061008
20,1,7,0.004611015,13,0.791666667,0.020997375
20,1,8,0.004533052,6,1,0.015957447
20,1,9,0.004584074,11,0.791666667,0.015748031
20,1,10,0.004680872,9,0.916666667,0.018518519
20,1,11,0.004356861,16,0.708333333,0.023498695
20,1,12,0.004379988,20,0.625,0.028571429
20,1,13,0.004719019,20,0.625,0.028571429
20,1,14,0.004410982,20,0.625,0.028571429
20,1,15,0.004570961,8,0.75,0.005235602
20,1,16,0.004480124,11,0.791666667,0.015748031
20,1,17,0.004547119,7,1,0.018617021
20,1,18,0.004194975,18,0.583333333,0.020725389
20,1,19,0.003973961,0,1,0
20,1,20,0.004565954,12,0.833333333,0.021052632
20,1,21,0.004645824,6,0.958333333,0.013262599
20,1,22,0.011492968,6,1,0.015957447
20,1,23,0.004172087,6,0.875,0.007915567
20,1,24,0.003926039,5,1,0.013297872
20,1,25,0.00457406,14,0.708333333,0.018276762
20,1,26,0.004715919,12,0.75,0.015706806
20,1,27,0.004791021,13,0.708333333,0.015665796
20,1,28,0.004401922,14,0.708333333,0.018276762
20,1,29,0.004588842,14,0.708333333,0.018276762
20,1,30,0.004365921,12,0.833333333,0.021052632
20,2,1,0.003987074,10,0.708333333,0.007832898
20,2,2,0.011498928,12,0.833333333,0.021052632
20,2,3,0.005071878,10,0.875,0.018469657
20,2,4,0.00475812,10,0.916666667,0.021164021
20,2,5,0.004034042,11,0.791666667,0.015748031
20,2,6,0.004093885,5,0.958333333,0.01061008
20,2,7,0.005172968,23,0.666666667,0.0390625
20,2,8,0.004241943,4,0.958333333,0.00795756
20,2,9,0.004658937,12,0.958333333,0.029177719
20,2,10,0.004796028,15,0.708333333,0.020887728
20,2,11,0.00466609,11,0.791666667,0.015748031
20,2,12,0.012290955,18,0.666666667,0.026041667
20,2,13,0.004129171,9,0.833333333,0.013157895
20,2,14,0.004436016,18,0.666666667,0.026041667
20,2,15,0.004263163,12,0.791666667,0.018372703
20,2,16,0.004175901,5,0.958333333,0.01061008
20,2,17,0.004537821,6,0.958333333,0.013262599
20,2,18,0.004379988,10,0.958333333,0.023872679
20,2,19,0.004360199,15,0.708333333,0.020887728
20,2,20,0.004350185,18,0.625,0.023376623
20,2,21,0.004505873,16,0.833333333,0.031578947
20,2,22,0.012577772,12,0.875,0.023746702
20,2,23,0.00409317,13,0.666666667,0.013020833
20,2,24,0.004842997,18,0.791666667,0.034120735
20,2,25,0.004223824,13,0.791666667,0.020997375
20,2,26,0.0043571,16,0.666666667,0.020833333
20,2,27,0.004858017,13,0.791666667,0.020997375
20,2,28,0.004060984,2,0.958333333,0.00265252
20,2,29,0.004717827,12,0.791666667,0.018372703
20,2,30,0.004268169,12,0.875,0.023746702
20,4,1,0.00406909,8,0.875,0.013192612
20,4,2,0.004571915,15,0.791666667,0.026246719
20,4,3,0.004097939,14,0.708333333,0.018276762
20,4,4,0.004282951,9,0.833333333,0.013157895
20,4,5,0.004085064,10,0.708333333,0.007832898
20,4,6,0.004577875,9,0.875,0.015831135
20,4,7,0.004966021,21,0.666666667,0.033854167
20,4,8,0.005608082,4,1,0.010638298
20,4,9,0.007540941,18,0.625,0.023376623
20,4,10,0.004468203,10,0.916666667,0.021164021
20,4,11,0.004939079,21,0.625,0.031168831
20,4,12,0.004763126,11,0.916666667,0.023809524
20,4,13,0.004153013,10,0.833333333,0.015789474
20,4,14,0.004081011,10,0.75,0.010471204
20,4,15,0.003828049,0,1,0
20,4,16,0.004358053,12,0.833333333,0.021052632
20,4,17,0.004014015,8,0.791666667,0.007874016
20,4,18,0.004456997,7,1,0.018617021
20,4,19,0.0041399,3,1,0.007978723
20,4,20,0.003950834,4,0.958333333,0.00795756
20,4,21,0.012712955,4,0.916666667,0.005291005
20,4,22,0.004202843,11,0.833333333,0.018421053
20,4,23,0.004509926,14,0.708333333,0.018276762
20,4,24,0.004431009,14,0.875,0.029023747
20,4,25,0.004524946,15,0.75,0.023560209
20,4,26,0.004230976,14,0.666666667,0.015625
20,4,27,0.004149199,4,0.958333333,0.00795756
20,4,28,0.004525185,14,0.708333333,0.018276762
20,4,29,0.004400015,18,0.625,0.023376623
20,4,30,0.004266024,2,1,0.005319149
