m,n,alpha,k,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,100,2,11,0.568693542,4.13E-05,0,0,1,0
10,100,2,12,0.738404625,4.07E-06,0,0,1,0
10,100,2,13,1.460372542,1.06E-07,0,0,1,0
10,100,2,14,0.561427875,1.83E-06,2,0,1,0
10,100,2,15,0.735168834,0,0,0,1,0
10,100,2,16,0.488559667,1.18E-07,0,0,1,0
10,100,2,17,1.393236666,0,0,0,1,0
10,100,2,18,500.005681,0.074264403,0,0,1,0
10,100,2,19,0.424140333,4.79E-05,0,0,1,0
10,100,2,20,0.750850583,5.93E-06,0,0,1,0
10,100,2,21,0.445799917,2.97E-05,0,0,1,0
10,100,2,22,2.475284333,2.65E-07,2,0,1,0
10,100,2,23,1.499492458,0,0,0,1,0
10,100,2,24,0.527358875,8.64E-05,0,0,1,0
10,100,2,25,1.295030542,1.73E-07,2,1,1,0.027027027
10,100,2,26,0.6005305,2.73E-05,2,1,1,0.027027027
10,100,2,27,0.369785334,6.59E-05,0,0,1,0
10,100,2,28,0.895902458,0,0,0,1,0
10,100,2,29,0.811561,6.87E-09,3,1,1,0.027027027
10,100,2,30,1.654071125,1.05E-06,0,0,1,0
10,100,4,1,2.284822667,0,0,0,1,0
10,100,4,2,0.696486542,6.43E-05,0,0,1,0
10,100,4,3,0.635566916,7.21E-06,2,1,0.875,0
10,100,4,4,0.635421667,8.72E-05,4,2,0.875,0.027027027
10,100,4,5,500.0024779,0.146504085,0,0,1,0
10,100,4,6,1.889343792,0,0,0,1,0
10,100,4,7,0.675630666,7.07E-05,0,0,1,0
10,100,4,8,0.6778945,0,0,0,1,0
10,100,4,9,0.756449791,4.83E-05,0,0,1,0
10,100,4,10,500.0030592,0.085681352,0,0,1,0
10,100,4,11,0.496572666,5.85E-05,0,0,1,0
10,100,4,12,0.62922325,1.00E-04,0,0,1,0
10,100,4,13,0.815405958,0,0,0,1,0
10,100,4,14,0.67725723,0,0,0,1,0
10,100,4,15,0.652804834,1.90E-08,2,1,1,0.027027027
10,100,4,16,0.9476295,0,0,0,1,0
10,100,4,17,1.614514042,8.20E-07,2,2,0.875,0.027027027
10,100,4,18,0.50072,0,0,0,1,0
10,100,4,19,0.573005167,5.38E-06,0,0,1,0
10,100,4,20,0.587533334,0,0,0,1,0
10,100,4,21,0.563125917,3.29E-05,0,0,1,0
10,100,4,22,5.6757505,0,4,2,0.875,0.027027027
10,100,4,23,0.486871042,3.17E-08,0,0,1,0
10,100,4,24,0.484027667,1.72E-05,0,0,1,0
10,100,4,25,0.823499875,6.31E-05,0,0,1,0
10,100,4,26,0.506138625,5.89E-06,2,1,1,0.027027027
10,100,4,27,0.569683458,6.78E-05,0,0,1,0
10,100,4,28,0.506502625,9.22E-06,0,0,1,0
10,100,4,29,0.488120083,0,0,0,1,0
10,100,4,30,1.107103667,0,0,0,1,0
15,100,1,1,9.8386975,1.95E-08,4,2,0.916666667,0.010752688
15,100,1,2,4.334217541,0,0,0,1,0
15,100,1,3,27.70977229,1.36E-11,5,2,1,0.021505376
15,100,1,4,17.31606517,9.14E-09,0,0,1,0
15,100,1,5,6.778850666,7.00E-10,2,0,1,0
15,100,1,6,3.470052208,6.25E-12,0,0,1,0
15,100,1,7,322.8845532,7.57E-05,5,3,1,0.032258065
15,100,1,8,8.405781667,8.31E-06,2,1,1,0.010752688
15,100,1,9,21.0317495,0,0,0,1,0
15,100,1,10,22.12870392,0,5,0,1,0
15,100,1,11,20.35999467,8.47E-09,1,1,1,0.010752688
15,100,1,12,16.42541863,0,0,0,1,0
15,100,1,13,10.41420854,1.51E-10,1,1,1,0.010752688
15,100,1,14,8.192001084,0,0,0,1,0
15,100,1,15,3.60323275,2.04E-08,1,1,1,0.010752688
15,100,1,16,1.622128542,6.23E-09,0,0,1,0
15,100,1,17,47.40333758,0,0,0,1,0
15,100,1,18,32.10168613,0,2,1,1,0.010752688
15,100,1,19,6.336042792,0,0,0,1,0
15,100,1,20,5.385034708,1.13E-09,2,0,1,0
15,100,1,21,11.18626617,0,0,0,1,0
15,100,1,22,5.101909625,5.21E-09,6,1,1,0.010752688
15,100,1,23,6.756464208,2.27E-08,0,0,1,0
15,100,1,24,2.568526,1.19E-06,2,0,1,0
15,100,1,25,6.459156458,1.74E-08,0,0,1,0
15,100,1,26,6.433718792,0,0,0,1,0
15,100,1,27,17.04618196,0,0,0,1,0
15,100,1,28,7.064898292,0,0,0,1,0
15,100,1,29,16.743519,3.97E-09,2,1,1,0.010752688
15,100,1,30,2.045465,0,0,0,1,0
15,100,2,1,3.321566291,4.01E-05,0,0,1,0
15,100,2,2,5.084091125,2.71E-08,0,0,1,0
15,100,2,3,63.50182004,0,9,4,0.916666667,0.032258065
15,100,2,4,5.716348459,3.05E-08,0,0,1,0
15,100,2,5,5.410257958,0,2,0,1,0
15,100,2,6,3.164217792,1.14E-08,0,0,1,0
15,100,2,7,39.12259025,0,3,3,0.916666667,0.021505376
15,100,2,8,65.50785838,9.86E-05,0,0,1,0
15,100,2,9,8.046297292,0,2,1,1,0.010752688
15,100,2,10,14.72486221,0,0,0,1,0
15,100,2,11,34.7306315,0,0,0,1,0
15,100,2,12,47.65399446,0,5,2,0.916666667,0.010752688
15,100,2,13,6.200410375,0,0,0,1,0
15,100,2,14,8.31049175,5.55E-05,0,0,1,0
15,100,2,15,2.150247625,2.70E-06,3,2,0.916666667,0.010752688
15,100,2,16,5.33381525,1.39E-08,4,2,0.916666667,0.010752688
15,100,2,17,13.03917938,0,0,0,1,0
15,100,2,18,5.385103542,2.15E-07,0,0,1,0
15,100,2,19,2.531382375,9.43E-05,2,1,0.916666667,0
15,100,2,20,14.40768108,0,0,0,1,0
15,100,2,21,1.911530541,0,0,0,1,0
15,100,2,22,2.783812667,1.22E-05,2,1,0.916666667,0
15,100,2,23,28.44486708,0,0,0,1,0
15,100,2,24,11.04351825,4.03E-09,1,1,1,0.010752688
15,100,2,25,42.67689842,0,2,0,1,0
15,100,2,26,1.6461895,6.76E-09,2,1,0.916666667,0
15,100,2,27,15.41652671,0,0,0,1,0
15,100,2,28,1.51199475,1.25E-05,0,0,1,0
15,100,2,29,17.3283295,8.27E-05,2,1,1,0.010752688
15,100,2,30,4.321557542,1.65E-05,0,0,1,0
15,100,4,1,4.495923125,1.75E-06,2,1,0.916666667,0
15,100,4,2,10.4618205,0,0,0,1,0
15,100,4,3,8.628086583,0,3,2,0.916666667,0.010752688
15,100,4,4,6.225902833,2.49E-07,0,0,1,0
15,100,4,5,22.67450346,6.01E-05,4,2,0.833333333,0
15,100,4,6,15.89444567,1.35E-08,4,3,0.833333333,0.010752688
15,100,4,7,38.47300125,7.01E-05,4,2,1,0.021505376
15,100,4,8,23.50716704,1.18E-08,2,1,0.916666667,0
15,100,4,9,4.211289792,5.97E-05,0,0,1,0
15,100,4,10,6.968850875,3.00E-07,2,1,0.916666667,0
15,100,4,11,16.72089058,0,0,0,1,0
15,100,4,12,53.39462696,0,2,1,1,0.010752688
15,100,4,13,4.025278583,0,2,1,0.916666667,0
15,100,4,14,8.185037334,1.79E-05,2,1,0.916666667,0
15,100,4,15,20.02189713,0,2,1,0.916666667,0
15,100,4,16,1.656521375,0,0,0,1,0
15,100,4,17,7.631114709,4.31E-09,0,0,1,0
15,100,4,18,15.20078379,1.98E-09,0,0,1,0
15,100,4,19,3.248502166,0,0,0,1,0
15,100,4,20,24.42237208,4.19E-05,2,1,0.916666667,0
15,100,4,21,5.422189916,1.36E-05,0,0,1,0
15,100,4,22,10.99354554,1.88E-08,2,1,0.916666667,0
15,100,4,23,12.84662392,5.80E-05,2,1,0.916666667,0
15,100,4,24,4.868847666,1.70E-09,6,3,0.916666667,0.021505376
15,100,4,25,1.860031792,0,6,3,0.833333333,0.010752688
15,100,4,26,2.020448375,4.90E-07,5,1,0.916666667,0
15,100,4,27,1.915440709,0,0,0,1,0
15,100,4,28,3.148185375,3.77E-05,0,0,1,0
15,100,4,29,16.1815445,1.68E-07,2,1,0.916666667,0
15,100,4,30,23.60265358,4.81E-05,0,0,1,0
20,100,1,1,41.99356363,1.67E-08,0,0,1,0
20,100,1,2,86.44692071,2.07E-08,1,1,0.9375,0
20,100,1,3,175.8919942,1.07E-08,0,0,1,0
20,100,1,4,96.93338763,6.04E-05,2,2,0.9375,0.005747126
20,100,1,5,182.8776805,0,0,0,1,0
20,100,1,6,85.12988096,0,2,1,1,0.005747126
20,100,1,7,133.3608692,6.53E-08,4,2,0.9375,0.005747126
20,100,1,8,88.9873385,2.36E-05,0,0,1,0
20,100,1,9,119.5634366,9.18E-09,0,0,1,0
20,100,1,10,71.34939742,4.00E-08,0,0,1,0
20,100,1,11,79.15155767,9.38E-07,0,0,1,0
20,100,1,12,50.83547421,1.31E-08,4,2,0.9375,0.005747126
20,100,1,13,384.1449904,6.46E-05,0,0,1,0
20,100,1,14,327.5575892,5.00E-05,4,2,0.9375,0.005747126
20,100,1,15,121.6372753,0,0,0,1,0
20,100,1,16,97.00591704,1.33E-08,0,0,1,0
20,100,1,17,223.3604395,3.05E-06,0,0,1,0
20,100,1,18,166.0105714,7.89E-07,0,0,1,0
20,100,1,19,49.28074542,4.25E-07,0,0,1,0
20,100,1,20,163.0929701,1.11E-08,0,0,1,0
20,100,1,21,232.5748928,4.92E-08,2,1,1,0.005747126
20,100,1,22,327.8583739,0,0,0,1,0
20,100,1,23,10.91638458,3.74E-08,0,0,1,0
20,100,1,24,182.180623,3.38E-08,2,1,1,0.005747126
20,100,1,25,44.24258192,2.41E-08,0,0,1,0
20,100,1,26,82.34624725,0,0,0,1,0
20,100,1,27,159.4761352,0,0,0,1,0
20,100,1,28,74.43486525,0,0,0,1,0
20,100,1,29,139.8398986,1.08E-05,0,0,1,0
20,100,1,30,81.71005433,4.11E-08,0,0,1,0
20,100,2,1,200.1552735,2.07E-06,10,3,0.9375,0.011494253
20,100,2,2,42.40672546,1.08E-08,2,1,1,0.005747126
20,100,2,3,418.1646692,2.95E-05,4,2,1,0.011494253
20,100,2,4,529.4036967,3.06E-05,2,1,1,0.005747126
20,100,2,5,217.307131,5.33E-05,0,0,1,0
20,100,2,6,42.75797638,2.52E-08,0,0,1,0
20,100,2,7,999.9873121,0.009782336,10,3,0.9375,0.011494253
20,100,2,8,156.4319178,1.20E-07,0,0,1,0
20,100,2,9,274.878979,6.65E-05,0,0,1,0
20,100,2,10,213.0548821,9.77E-05,3,1,1,0.005747126
20,100,2,11,106.553002,2.63E-08,3,1,1,0.005747126
20,100,2,12,280.9485961,9.73E-05,0,0,1,0
20,100,2,13,50.00875938,1.67E-05,0,0,1,0
20,100,2,14,111.0012443,3.61E-08,5,0,1,0
20,100,2,15,85.12064425,0,0,0,1,0
20,100,2,16,197.6043195,0,0,0,1,0
20,100,2,17,37.41484929,9.41E-09,0,0,1,0
20,100,2,18,47.21376421,4.88E-06,0,0,1,0
20,100,2,19,145.6580956,5.44E-05,0,0,1,0
20,100,2,20,349.4124037,0,4,0,1,0
20,100,2,21,12.34817188,5.99E-10,0,0,1,0
20,100,2,22,73.21516892,3.81E-05,0,0,1,0
20,100,2,23,50.21520142,1.78E-08,0,0,1,0
20,100,2,24,165.8363987,2.67E-05,0,0,1,0
20,100,2,25,548.7333039,9.63E-05,0,0,1,0
20,100,2,26,94.34539333,0,0,0,1,0
20,100,2,27,260.7433452,0,0,0,1,0
20,100,2,28,38.56654167,0,0,0,1,0
20,100,2,29,72.16051854,0,5,0,1,0
20,100,2,30,95.10915471,0,0,0,1,0
20,100,4,1,44.68757333,8.39E-07,4,2,0.9375,0.005747126
20,100,4,2,16.30776367,2.01E-08,0,0,1,0
20,100,4,3,437.554514,7.94E-05,9,2,0.9375,0.005747126
20,100,4,4,356.2746906,4.04E-05,3,2,0.875,0
20,100,4,5,280.8616449,6.27E-09,7,0,1,0
20,100,4,6,73.15627988,7.58E-05,8,3,0.9375,0.011494253
20,100,4,7,1000.001003,0.009584264,2,1,1,0.005747126
20,100,4,8,56.87263454,6.76E-09,0,0,1,0
20,100,4,9,217.1343407,2.13E-06,2,1,1,0.005747126
20,100,4,10,218.6652398,0,0,0,1,0
20,100,4,11,166.8557885,4.38E-05,8,4,0.875,0.011494253
20,100,4,12,268.3976471,7.43E-09,0,0,1,0
20,100,4,13,105.8607397,6.89E-09,0,0,1,0
20,100,4,14,116.3178807,0,8,3,0.9375,0.011494253
20,100,4,15,9.253471875,1.59E-08,2,1,0.9375,0
20,100,4,16,300.5731357,8.40E-05,8,4,0.875,0.011494253
20,100,4,17,10.50219362,1.02E-08,0,0,1,0
20,100,4,18,164.8205494,1.80E-06,0,0,1,0
20,100,4,19,197.425087,3.09E-07,0,0,1,0
20,100,4,20,13.65562704,1.58E-08,0,0,1,0
20,100,4,21,21.3470045,4.86E-05,2,1,0.9375,0
20,100,4,22,168.8494364,0,0,0,1,0
20,100,4,23,482.0256753,6.97E-05,2,0,1,0
20,100,4,24,25.96031646,3.84E-09,6,3,0.875,0.005747126
20,100,4,25,392.9608297,0,0,0,1,0
20,100,4,26,76.89628038,0,0,0,1,0
20,100,4,27,32.98324846,6.17E-09,0,0,1,0
20,100,4,28,148.4850024,9.63E-09,4,2,0.9375,0.005747126
20,100,4,29,123.0437391,9.70E-05,4,1,0.9375,0
20,100,4,30,21.72536858,1.77E-08,0,0,1,0
