network,k,RGAP,d_cpdag,SHDs,TPR,FPR,Time
4insuranceSmall,10,0.094524086,4,2,0.92,0,750.2009619
5rain,1,0.015589,2,1,0.944444,0,700.407312
5rain,2,0.016309,2,1,0.944444,0,700.333233
5rain,3,0.016637,2,1,0.944444,0,700.431992
5rain,4,0.016287,2,1,0.944444,0,700.346964
5rain,5,0.016664,2,1,0.944444,0,700.410399
5rain,6,0.016726,2,1,0.944444,0,700.406577
5rain,7,0.018006,2,1,0.944444,0,700.187002
5rain,8,0.022009,2,1,0.944444,0,700.296761
5rain,9,0.019614,2,1,0.944444,0,700.397929
5rain,10,0.019291,2,1,0.944444,0,700.253444
6cloud,1,0.000003,5,2,0.894737,0,244.777301
6cloud,2,0.000003,5,2,0.894737,0,226.186213
6cloud,3,0.000003,5,2,0.894737,0,227.511674
6cloud,4,0.000003,5,2,0.894737,0,226.609341
6cloud,5,0.000003,5,2,0.894737,0,226.40133
6cloud,6,0.000003,5,2,0.894737,0,227.078971
6cloud,7,0.000003,5,2,0.894737,0,225.756993
6cloud,8,0.000003,5,2,0.894737,0,225.886099
6cloud,9,0.000003,5,2,0.894737,0,227.047863
6cloud,10,0.000003,5,2,0.894737,0,226.467744
7funnel,1,0.000007,2,1,0.944444,0,240.834566
7funnel,2,0.000007,2,1,0.944444,0,240.343807
7funnel,3,0.000007,2,1,0.944444,0,240.640499
7funnel,4,0.000007,2,1,0.944444,0,242.122769
7funnel,5,0.000007,2,1,0.944444,0,239.465903
7funnel,6,0.000007,2,1,0.944444,0,241.441767
7funnel,7,0.000007,2,1,0.944444,0,238.671144
7funnel,8,0.000007,2,1,0.944444,0,240.877699
7funnel,9,0.000007,2,1,0.944444,0,249.286621
7funnel,10,0.000007,2,1,0.944444,0,227.721132
8galaxy,1,0.077995,12,2,0.954545,0.005952,1000.454323
8galaxy,2,0.077797,12,2,0.954545,0.005952,1000.379251
8galaxy,3,0.077584,12,2,0.954545,0.005952,1000.252927
8galaxy,4,0.077454,12,2,0.954545,0.005952,1000.492659
8galaxy,5,0.077353,12,2,0.954545,0.005952,1000.40767
8galaxy,6,0.077763,12,2,0.954545,0.005952,1000.406073
8galaxy,7,0.077763,12,2,0.954545,0.005952,1000.404681
8galaxy,8,0.077943,12,2,0.954545,0.005952,1000.23327
8galaxy,9,0.078188,12,2,0.954545,0.005952,1000.267965
8galaxy,10,0.078383,12,2,0.954545,0.005952,1000.381517
9insurance,1,0.273442,22,5,0.942308,0.006689,1350.430484
9insurance,2,0.275148,22,5,0.942308,0.006689,1350.561508
9insurance,3,0.273001,22,5,0.942308,0.006689,1350.398983
9insurance,4,0.273794,22,5,0.942308,0.006689,1350.35993
9insurance,5,0.273794,22,5,0.942308,0.006689,1350.279848
9insurance,6,0.27238,22,5,0.942308,0.006689,1350.224587
9insurance,7,0.27238,22,5,0.942308,0.006689,1350.19824
9insurance,8,0.27238,22,5,0.942308,0.006689,1350.237363
9insurance,9,0.272886,22,5,0.942308,0.006689,1350.199179
9insurance,10,0.27238,22,5,0.942308,0.006689,1350.224846
10factors,1,0.336685384,58,25,0.705882353,0.017667845,1350.926673
10factors,2,0.337003719,54,24,0.720588235,0.017667845,1350.889474
10factors,3,0.337003719,54,24,0.720588235,0.017667845,1350.872741
10factors,4,0.337003719,54,24,0.720588235,0.017667845,1350.843921
10factors,5,0.337003751,54,24,0.720588235,0.017667845,1350.932329
10factors,6,0.337003793,54,24,0.720588235,0.017667845,1351.14867
10factors,7,0.337003719,54,24,0.720588235,0.017667845,1350.903104
10factors,8,0.337003719,54,24,0.720588235,0.017667845,1350.857447
10factors,9,0.337003751,54,24,0.720588235,0.017667845,1350.906007
10factors,10,0.337003793,54,24,0.720588235,0.017667845,1351.202967
11hfinder,1,0.222805032,15,4,0.96969697,0.001356852,2800.821447
11hfinder,2,0.222523417,15,4,0.96969697,0.001356852,2804.647087
11hfinder,3,0.222571206,15,4,0.96969697,0.001356852,2800.474223
11hfinder,4,0.222523417,15,4,0.96969697,0.001356852,2800.630272
11hfinder,5,0.222404779,15,4,0.96969697,0.001356852,2800.751074
11hfinder,6,0.223712765,15,4,0.96969697,0.001356852,2801.0959
11hfinder,7,0.224350291,15,4,0.96969697,0.001356852,2800.563284
11hfinder,8,0.223397408,15,4,0.96969697,0.001356852,2800.530595
11hfinder,9,0.223728175,15,4,0.96969697,0.001356852,2800.522679
11hfinder,10,0.223594185,15,4,0.96969697,0.001356852,2800.856269
12hepar,1,0.321278772,49,14,0.959349593,0.003926702,3501.323381
12hepar,2,0.32108375,49,14,0.959349593,0.003926702,3501.123219
12hepar,3,0.321183021,49,14,0.959349593,0.003926702,3501.245114
12hepar,4,0.321099389,49,14,0.959349593,0.003926702,3500.790019
12hepar,5,0.32108375,49,14,0.959349593,0.003926702,3500.863411
12hepar,6,0.32108375,49,14,0.959349593,0.003926702,3500.731059
12hepar,7,0.32108375,49,14,0.959349593,0.003926702,3501.232176
12hepar,8,0.321278772,49,14,0.959349593,0.003926702,3500.89459
12hepar,9,0.321905119,49,14,0.959349593,0.003926702,3501.086741
12hepar,10,0.321905119,49,14,0.959349593,0.003926702,3501.502057
