"network","alpha","instance","time","d_cpdag","SHD","SHDs","TPR","FPR"
20,1,9,0.617627143859863,25,14,12,1,0.03125
20,1,10,0.566073894500732,21,13,13,1,0.0338541666666667
20,2,1,0.550961971282959,25,18,17,1,0.0442708333333333
20,2,2,0.555272102355957,23,17,12,1,0.03125
20,2,3,0.589905023574829,20,13,12,1,0.03125
20,2,4,0.660049200057983,23,13,12,1,0.03125
20,2,5,0.558214902877808,10,7,6,1,0.015625
20,2,6,0.547566890716553,16,12,12,1,0.03125
20,2,7,0.552356004714966,31,20,19,1,0.0494791666666667
20,2,8,0.553689956665039,22,13,10,1,0.0260416666666667
20,2,9,0.556177854537964,17,8,8,1,0.0208333333333333
20,2,10,0.552324056625366,14,7,7,1,0.0182291666666667
20,4,1,0.598221063613892,28,19,15,0.875,0.0338541666666667
20,4,2,0.567122936248779,23,14,11,1,0.0286458333333333
20,4,3,0.570634841918945,36,23,19,0.9375,0.046875
20,4,4,0.564239025115967,28,21,18,0.9375,0.0442708333333333
20,4,5,0.567893028259277,25,17,13,0.9375,0.03125
20,4,6,0.580420970916748,26,16,13,1,0.0338541666666667
20,4,7,0.571161031723022,35,23,18,0.9375,0.0442708333333333
20,4,8,0.586641073226929,25,16,12,0.9375,0.0286458333333333
20,4,9,0.557975053787231,24,16,11,1,0.0286458333333333
20,4,10,0.565423011779785,26,17,12,1,0.03125
